datetime,people,area,density
2024-03-03 17:57:22.659815,1,25,0.04
2024-03-03 17:58:22.026216,0,25,0.0
2024-03-03 17:59:21.327296,1,25,0.04
2024-03-03 18:00:20.602937,1,25,0.04
2024-03-03 18:01:20.022404,2,25,0.08
2024-03-03 18:02:19.425944,0,25,0.0
2024-03-03 18:03:18.729657,6,25,0.24
2024-03-03 18:04:18.028126,3,25,0.12
2024-03-03 18:05:17.528963,0,25,0.0
2024-03-03 18:06:16.935971,1,25,0.04
2024-03-03 18:07:16.336034,1,25,0.04
2024-03-03 18:08:16.008073,2,25,0.08
2024-03-03 18:09:15.339136,2,25,0.08
2024-03-03 18:10:14.710477,3,25,0.12
2024-03-03 18:11:14.307945,3,25,0.12
2024-03-03 18:12:13.689108,2,25,0.08
2024-03-03 18:13:13.207365,4,25,0.16
2024-03-03 18:14:12.494435,2,25,0.08
2024-03-03 18:15:11.806413,0,25,0.0
2024-03-03 18:16:11.075069,0,25,0.0
2024-03-03 18:17:10.453997,3,25,0.12
2024-03-03 18:18:09.696455,1,25,0.04
2024-03-03 18:19:09.043181,0,25,0.0
2024-03-03 18:20:08.668173,1,25,0.04
2024-03-03 18:21:07.781070,1,25,0.04
2024-03-03 18:22:07.042339,2,25,0.08
2024-03-03 18:23:06.213757,1,25,0.04
2024-03-03 18:24:05.534803,3,25,0.12
2024-03-03 18:25:04.830062,1,25,0.04
2024-03-03 18:26:04.152506,1,25,0.04
2024-03-03 18:27:03.519998,0,25,0.0
2024-03-03 18:28:02.930733,5,25,0.2
2024-03-03 18:29:02.105756,1,25,0.04
2024-03-03 18:30:01.553056,3,25,0.12
2024-03-03 18:31:00.826036,4,25,0.16
2024-03-03 18:32:00.108273,3,25,0.12
2024-03-03 18:33:00.308079,2,25,0.08
2024-03-03 18:33:59.635721,3,25,0.12
2024-03-03 18:34:58.742638,0,25,0.0
2024-03-03 18:35:57.972167,0,25,0.0
2024-03-03 18:36:57.272387,1,25,0.04
2024-03-03 18:37:56.348628,6,25,0.24
2024-03-03 18:38:55.534128,3,25,0.12
2024-03-03 18:39:54.794909,1,25,0.04
2024-03-03 18:40:54.017491,1,25,0.04
2024-03-03 18:41:53.460044,2,25,0.08
2024-03-03 18:42:52.623108,0,25,0.0
2024-03-03 18:43:51.859126,0,25,0.0
2024-03-03 18:44:50.947933,2,25,0.08
2024-03-03 18:45:50.207953,3,25,0.12
2024-03-03 18:46:49.414882,7,25,0.28
2024-03-03 18:47:48.669763,0,25,0.0
2024-03-03 18:48:47.962560,2,25,0.08
