datetime,people,area,density
2024-02-12 08:00:01.659815,1,25,0.04
2024-02-12 08:01:01.026216,0,25,0.0
2024-02-12 08:02:00.327296,1,25,0.04
2024-02-12 08:02:59.602937,1,25,0.04
2024-02-12 08:03:59.022404,2,25,0.08
2024-02-12 08:04:58.425944,0,25,0.0
2024-02-12 08:05:57.729657,6,25,0.24
2024-02-12 08:06:57.028126,3,25,0.12
2024-02-12 08:07:56.528963,0,25,0.0
2024-02-12 08:08:55.935971,1,25,0.04
2024-02-12 08:09:55.336034,1,25,0.04
2024-02-12 08:10:55.008073,2,25,0.08
2024-02-12 08:11:54.339136,2,25,0.08
2024-02-12 08:12:53.710477,3,25,0.12
2024-02-12 08:13:53.307945,3,25,0.12
2024-02-12 08:14:52.689108,2,25,0.08
2024-02-12 08:15:52.207365,4,25,0.16
2024-02-12 08:16:51.494435,2,25,0.08
2024-02-12 08:17:50.806413,0,25,0.0
2024-02-12 08:18:50.075069,0,25,0.0
2024-02-12 08:19:49.453997,3,25,0.12
2024-02-12 08:20:48.696455,1,25,0.04
2024-02-12 08:21:48.043181,0,25,0.0
2024-02-12 08:22:47.668173,1,25,0.04
2024-02-12 08:23:46.781070,1,25,0.04
2024-02-12 08:24:46.042339,2,25,0.08
2024-02-12 08:25:45.213757,1,25,0.04
2024-02-12 08:26:44.534803,3,25,0.12
2024-02-12 08:27:43.830062,1,25,0.04
2024-02-12 08:28:43.152506,1,25,0.04
2024-02-12 08:29:42.519998,0,25,0.0
2024-02-12 08:30:41.930733,5,25,0.2
2024-02-12 08:31:41.105756,1,25,0.04
2024-02-12 08:32:40.553056,3,25,0.12
2024-02-12 08:33:39.826036,4,25,0.16
2024-02-12 08:34:39.108273,3,25,0.12
2024-02-12 08:35:39.308079,2,25,0.08
2024-02-12 08:36:38.635721,3,25,0.12
2024-02-12 08:37:37.742638,0,25,0.0
2024-02-12 08:38:36.972167,0,25,0.0
2024-02-12 08:39:36.272387,1,25,0.04
2024-02-12 08:40:35.348628,6,25,0.24
2024-02-12 08:41:34.534128,3,25,0.12
2024-02-12 08:42:33.794909,1,25,0.04
2024-02-12 08:43:33.017491,1,25,0.04
2024-02-12 08:44:32.460044,2,25,0.08
2024-02-12 08:45:31.623108,0,25,0.0
2024-02-12 08:46:30.859126,0,25,0.0
2024-02-12 08:47:29.947933,2,25,0.08
2024-02-12 08:48:29.207953,3,25,0.12
2024-02-12 08:49:28.414882,7,25,0.28
2024-02-12 08:50:27.669763,0,25,0.0
2024-02-12 08:51:26.962560,2,25,0.08
2024-02-12 08:52:26.135983,4,25,0.16
2024-02-12 08:53:25.379801,3,25,0.12
2024-02-12 08:54:24.713805,4,25,0.16
2024-02-12 08:55:23.811697,2,25,0.08
2024-02-12 08:56:23.078234,0,25,0.0
2024-02-12 08:57:22.392500,0,25,0.0
2024-02-12 08:58:21.813660,1,25,0.04
2024-02-12 08:59:21.108780,0,25,0.0
2024-02-12 09:00:20.336925,0,25,0.0
2024-02-12 09:01:19.579196,2,25,0.08
2024-02-12 09:02:18.883831,0,25,0.0
2024-02-12 09:03:18.188161,1,25,0.04
2024-02-12 09:04:17.433157,2,25,0.08
2024-02-12 09:05:16.645323,3,25,0.12
2024-02-12 09:06:16.001347,2,25,0.08
2024-02-12 09:07:15.170960,1,25,0.04
2024-02-12 09:08:14.573624,2,25,0.08
2024-02-12 09:09:13.651225,4,25,0.16
2024-02-12 09:10:13.040077,10,25,0.4
2024-02-12 09:11:13.212398,3,25,0.12
2024-02-12 09:12:12.414096,2,25,0.08
2024-02-12 09:13:11.483832,2,25,0.08
2024-02-12 09:14:10.676872,3,25,0.12
2024-02-12 09:15:10.824905,8,25,0.32
2024-02-12 09:16:09.869602,5,25,0.2
2024-02-12 09:17:08.881568,1,25,0.04
2024-02-12 09:18:08.162423,2,25,0.08
2024-02-12 09:19:07.245127,2,25,0.08
2024-02-12 09:20:06.495599,1,25,0.04
2024-02-12 09:21:05.804374,3,25,0.12
2024-02-12 09:22:05.150173,1,25,0.04
2024-02-12 09:23:04.493488,2,25,0.08
2024-02-12 09:24:04.024098,2,25,0.08
2024-02-12 09:25:03.337512,0,25,0.0
2024-02-12 09:26:02.673917,6,25,0.24
2024-02-12 09:27:01.695420,1,25,0.04
2024-02-12 09:28:00.924547,7,25,0.28
2024-02-12 09:29:00.212505,3,25,0.12
2024-02-12 09:29:59.464740,5,25,0.2
2024-02-12 09:30:58.490095,1,25,0.04
2024-02-12 09:31:57.835318,1,25,0.04
2024-02-12 09:32:57.057780,2,25,0.08
2024-02-12 09:33:56.300137,3,25,0.12
2024-02-12 09:34:55.694799,0,25,0.0
2024-02-12 09:35:55.088875,5,25,0.2
2024-02-12 09:36:54.323098,1,25,0.04
2024-02-12 09:37:53.409779,1,25,0.04
2024-02-12 09:38:52.588270,4,25,0.16
2024-02-12 09:39:52.023557,0,25,0.0
2024-02-12 09:40:51.292154,1,25,0.04
2024-02-12 09:41:50.574851,0,25,0.0
2024-02-12 09:42:50.115111,6,25,0.24
2024-02-12 09:43:49.444820,2,25,0.08
2024-02-12 09:44:48.619429,4,25,0.16
2024-02-12 09:45:47.685059,3,25,0.12
2024-02-12 09:46:46.707579,6,25,0.24
2024-02-12 09:47:45.788785,2,25,0.08
2024-02-12 09:48:44.993399,8,25,0.32
2024-02-12 09:49:44.211993,11,25,0.44
2024-02-12 09:50:44.305940,7,25,0.28
2024-02-12 09:51:44.518832,5,25,0.2
2024-02-12 09:52:43.774881,11,25,0.44
2024-02-12 09:53:42.781556,20,25,0.8
2024-02-12 09:54:41.948787,9,25,0.36
2024-02-12 09:55:41.081847,10,25,0.4
2024-02-12 09:56:41.150929,6,25,0.24
2024-02-12 09:57:40.166626,8,25,0.32
2024-02-12 09:58:39.323726,7,25,0.28
2024-02-12 09:59:38.374562,3,25,0.12
2024-02-12 10:00:37.480604,3,25,0.12
2024-02-12 10:01:36.674172,3,25,0.12
2024-02-12 10:02:35.901702,0,25,0.0
2024-02-12 10:03:35.103248,3,25,0.12
2024-02-12 10:04:34.160389,4,25,0.16
2024-02-12 10:05:33.646102,6,25,0.24
2024-02-12 10:06:33.156337,6,25,0.24
2024-02-12 10:07:32.441713,3,25,0.12
2024-02-12 10:08:31.965345,4,25,0.16
2024-02-12 10:09:31.223937,2,25,0.08
2024-02-12 10:10:30.378647,4,25,0.16
2024-02-12 10:11:30.606709,13,25,0.52
2024-02-12 10:12:29.771758,4,25,0.16
2024-02-12 10:13:28.995572,1,25,0.04
2024-02-12 10:14:28.069156,5,25,0.2
2024-02-12 10:15:27.299840,1,25,0.04
2024-02-12 10:16:26.530711,2,25,0.08
2024-02-12 10:17:25.684731,1,25,0.04
2024-02-12 10:18:25.013725,4,25,0.16
2024-02-12 10:19:24.291993,2,25,0.08
2024-02-12 10:20:23.583503,3,25,0.12
2024-02-12 10:21:22.744498,1,25,0.04
2024-02-12 10:22:22.026237,1,25,0.04
2024-02-12 10:23:21.196206,3,25,0.12
2024-02-12 10:24:20.488143,2,25,0.08
2024-02-12 10:25:19.623686,2,25,0.08
2024-02-12 10:26:18.789405,3,25,0.12
2024-02-12 10:27:17.885558,0,25,0.0
2024-02-12 10:28:16.977006,5,25,0.2
2024-02-12 10:29:16.133143,2,25,0.08
2024-02-12 10:30:15.408373,4,25,0.16
2024-02-12 10:31:15.606707,6,25,0.24
2024-02-12 10:32:15.792100,7,25,0.28
2024-02-12 10:33:15.933016,8,25,0.32
2024-02-12 10:34:14.933228,9,25,0.36
2024-02-12 10:35:13.944420,5,25,0.2
2024-02-12 10:36:12.992120,6,25,0.24
2024-02-12 10:37:13.180571,5,25,0.2
2024-02-12 10:38:13.429531,6,25,0.24
2024-02-12 10:39:12.514326,5,25,0.2
2024-02-12 10:40:11.666796,4,25,0.16
2024-02-12 10:41:10.744014,2,25,0.08
2024-02-12 10:42:10.078463,2,25,0.08
2024-02-12 10:43:09.292850,5,25,0.2
2024-02-12 10:44:08.372767,10,25,0.4
2024-02-12 10:45:07.558699,8,25,0.32
2024-02-12 10:46:06.682949,1,25,0.04
2024-02-12 10:47:05.738662,6,25,0.24
2024-02-12 10:48:04.915863,1,25,0.04
2024-02-12 10:49:04.015865,0,25,0.0
2024-02-12 10:50:03.483064,5,25,0.2
2024-02-12 10:51:02.712985,3,25,0.12
2024-02-12 10:52:01.758100,4,25,0.16
2024-02-12 10:53:00.761836,2,25,0.08
2024-02-12 10:53:59.963725,4,25,0.16
2024-02-12 10:54:59.231515,2,25,0.08
2024-02-12 10:55:58.580235,3,25,0.12
2024-02-12 10:56:57.611946,5,25,0.2
2024-02-12 10:57:56.837297,6,25,0.24
2024-02-12 10:58:56.074047,4,25,0.16
2024-02-12 10:59:55.352403,0,25,0.0
2024-02-12 11:00:54.509262,7,25,0.28
2024-02-12 11:01:53.679876,3,25,0.12
2024-02-12 11:02:53.087439,5,25,0.2
2024-02-12 11:03:52.496101,1,25,0.04
2024-02-12 11:04:51.512933,1,25,0.04
2024-02-12 11:05:50.730821,8,25,0.32
2024-02-12 11:06:50.213372,5,25,0.2
2024-02-12 11:07:49.851705,8,25,0.32
2024-02-12 11:08:49.479900,1,25,0.04
2024-02-12 11:09:49.007762,6,25,0.24
2024-02-12 11:10:48.496437,8,25,0.32
2024-02-12 11:11:47.762188,8,25,0.32
2024-02-12 11:12:46.893569,14,25,0.56
2024-02-12 11:13:45.898828,23,25,0.92
2024-02-12 11:14:46.015817,13,25,0.52
2024-02-12 11:15:45.138679,15,25,0.6
2024-02-12 11:16:44.310733,10,25,0.4
2024-02-12 11:17:44.415020,7,25,0.28
2024-02-12 11:18:43.871339,7,25,0.28
2024-02-12 11:19:42.983463,0,25,0.0
2024-02-12 11:20:42.722285,5,25,0.2
2024-02-12 11:21:42.169786,5,25,0.2
2024-02-12 11:22:41.511978,1,25,0.04
2024-02-12 11:23:40.987734,3,25,0.12
2024-02-12 11:24:40.556058,2,25,0.08
2024-02-12 11:25:39.967367,4,25,0.16
2024-02-12 11:26:39.870843,3,25,0.12
2024-02-12 11:27:39.837051,4,25,0.16
2024-02-12 11:28:39.389270,5,25,0.2
2024-02-12 11:29:40.223047,8,25,0.32
2024-02-12 11:30:39.246965,5,25,0.2
2024-02-12 11:31:40.107740,5,25,0.2
2024-02-12 11:32:39.313808,3,25,0.12
2024-02-12 11:33:39.107995,2,25,0.08
2024-02-12 11:34:38.419191,5,25,0.2
2024-02-12 11:35:37.806013,7,25,0.28
2024-02-12 11:36:38.418110,7,25,0.28
2024-02-12 11:37:39.099656,2,25,0.08
2024-02-12 11:38:38.298915,6,25,0.24
2024-02-12 11:39:37.692974,0,25,0.0
2024-02-12 11:40:36.764367,3,25,0.12
2024-02-12 11:41:35.778887,4,25,0.16
2024-02-12 11:42:35.314530,4,25,0.16
2024-02-12 11:43:34.342298,1,25,0.04
2024-02-12 11:44:33.894234,8,25,0.32
2024-02-12 11:45:33.013628,2,25,0.08
2024-02-12 11:46:32.570903,0,25,0.0
2024-02-12 11:47:31.827569,4,25,0.16
2024-02-12 11:48:30.850161,7,25,0.28
2024-02-12 11:49:30.181179,3,25,0.12
2024-02-12 11:50:29.308715,1,25,0.04
2024-02-12 11:51:28.651337,6,25,0.24
2024-02-12 11:52:27.678550,0,25,0.0
2024-02-12 11:53:27.116334,3,25,0.12
2024-02-12 11:54:26.428133,1,25,0.04
2024-02-12 11:55:25.591536,0,25,0.0
2024-02-12 11:56:24.976907,0,25,0.0
2024-02-12 11:57:24.247621,1,25,0.04
2024-02-12 11:58:23.574708,1,25,0.04
2024-02-12 11:59:22.901827,5,25,0.2
2024-02-12 12:00:22.099707,4,25,0.16
2024-02-12 12:01:21.518511,2,25,0.08
2024-02-12 12:02:20.624766,2,25,0.08
2024-02-12 12:03:20.072663,5,25,0.2
2024-02-12 12:04:19.431772,3,25,0.12
2024-02-12 12:05:18.453858,3,25,0.12
2024-02-12 12:06:19.185215,10,25,0.4
2024-02-12 12:07:18.307223,9,25,0.36
2024-02-12 12:08:17.451540,8,25,0.32
2024-02-12 12:09:16.505995,8,25,0.32
2024-02-12 12:10:17.406370,4,25,0.16
2024-02-12 12:11:16.924531,12,25,0.48
2024-02-12 12:12:16.293087,18,25,0.72
2024-02-12 12:13:15.657578,8,25,0.32
2024-02-12 12:14:15.087657,8,25,0.32
2024-02-12 12:15:14.429618,9,25,0.36
2024-02-12 12:16:15.090991,9,25,0.36
2024-02-12 12:17:16.015455,9,25,0.36
2024-02-12 12:18:15.290999,10,25,0.4
2024-02-12 12:19:14.725524,10,25,0.4
2024-02-12 12:20:15.686325,9,25,0.36
2024-02-12 12:21:14.808804,11,25,0.44
2024-02-12 12:22:14.775261,11,25,0.44
2024-02-12 12:23:14.699181,8,25,0.32
2024-02-12 12:24:14.293294,2,25,0.08
2024-02-12 12:25:13.777429,3,25,0.12
2024-02-12 12:26:13.340378,1,25,0.04
2024-02-12 12:27:12.834040,6,25,0.24
2024-02-12 12:28:12.366324,1,25,0.04
2024-02-12 12:29:12.113980,2,25,0.08
2024-02-12 12:30:11.459706,0,25,0.0
2024-02-12 12:31:11.267989,7,25,0.28
2024-02-12 12:32:10.667404,6,25,0.24
2024-02-12 12:33:10.213585,2,25,0.08
2024-02-12 12:34:09.357717,5,25,0.2
2024-02-12 12:35:08.781459,8,25,0.32
2024-02-12 12:36:08.432450,2,25,0.08
2024-02-12 12:37:09.131464,1,25,0.04
2024-02-12 12:38:08.194916,2,25,0.08
2024-02-12 12:39:07.700476,4,25,0.16
2024-02-12 12:40:07.222586,2,25,0.08
2024-02-12 12:41:06.792445,4,25,0.16
2024-02-12 12:42:07.810846,5,25,0.2
2024-02-12 12:43:07.105531,4,25,0.16
2024-02-12 12:44:06.302106,8,25,0.32
2024-02-12 12:45:05.551316,4,25,0.16
2024-02-12 12:46:04.666906,11,25,0.44
2024-02-12 12:47:03.902983,5,25,0.2
2024-02-12 12:48:03.420453,3,25,0.12
2024-02-12 12:49:03.186170,0,25,0.0
2024-02-12 12:50:02.508982,0,25,0.0
2024-02-12 12:51:02.249996,2,25,0.08
2024-02-12 12:52:01.353112,1,25,0.04
2024-02-12 12:53:00.675299,0,25,0.0
2024-02-12 12:54:00.265539,1,25,0.04
2024-02-12 12:54:59.825295,0,25,0.0
2024-02-12 12:55:59.154233,2,25,0.08
2024-02-12 12:56:58.551289,2,25,0.08
2024-02-12 12:57:57.703171,1,25,0.04
2024-02-12 12:58:57.279955,2,25,0.08
2024-02-12 12:59:56.537462,4,25,0.16
2024-02-12 13:00:56.102346,1,25,0.04
2024-02-12 13:01:55.803343,1,25,0.04
2024-02-12 13:02:54.934376,3,25,0.12
2024-02-12 13:03:54.151207,3,25,0.12
2024-02-12 13:04:53.165936,4,25,0.16
2024-02-12 13:05:52.375211,1,25,0.04
2024-02-12 13:06:51.667128,1,25,0.04
2024-02-12 13:07:51.467471,2,25,0.08
2024-02-12 13:08:50.887633,1,25,0.04
2024-02-12 13:09:50.387420,0,25,0.0
2024-02-12 13:10:50.003636,4,25,0.16
2024-02-12 13:11:49.185917,5,25,0.2
2024-02-12 13:12:48.634331,4,25,0.16
2024-02-12 13:13:47.846174,7,25,0.28
2024-02-12 13:14:48.769631,5,25,0.2
2024-02-12 13:15:47.944761,3,25,0.12
