datetime,people,area,density
2024-03-03 17:32:18.681299,0,25,0.0
2024-03-03 17:32:20.129298,1,25,0.04
2024-03-03 17:32:21.570298,1,25,0.04
2024-03-03 17:32:23.012298,0,25,0.0
2024-03-03 17:32:24.448297,0,25,0.0
2024-03-03 17:32:25.902299,1,25,0.04
2024-03-03 17:32:27.336298,0,25,0.0
2024-03-03 17:32:28.776298,0,25,0.0
2024-03-03 17:32:30.223297,0,25,0.0
2024-03-03 17:32:31.670299,0,25,0.0
2024-03-03 17:32:33.097298,1,25,0.04
2024-03-03 17:32:34.541299,0,25,0.0
2024-03-03 17:32:35.993298,0,25,0.0
2024-03-03 17:32:37.461299,0,25,0.0
2024-03-03 17:32:38.902297,3,25,0.12
2024-03-03 17:32:40.341297,3,25,0.12
2024-03-03 17:32:41.783298,6,25,0.24
2024-03-03 17:32:43.229298,10,25,0.4
2024-03-03 17:32:44.666298,6,25,0.24
2024-03-03 17:32:46.124298,4,25,0.16
2024-03-03 17:34:07.947298,0,25,0.0
2024-03-03 17:34:08.931298,0,25,0.0
2024-03-03 17:34:09.866297,0,25,0.0
2024-03-03 17:34:10.817298,1,25,0.04
2024-03-03 17:34:11.749297,0,25,0.0
2024-03-03 17:34:12.715366,0,25,0.0
2024-03-03 17:34:13.663298,0,25,0.0
2024-03-03 17:34:14.609297,0,25,0.0
2024-03-03 17:34:15.563297,0,25,0.0
2024-03-03 17:34:16.505297,0,25,0.0
2024-03-03 17:34:17.440297,0,25,0.0
2024-03-03 17:34:18.373297,0,25,0.0
2024-03-03 17:34:19.305297,0,25,0.0
2024-03-03 17:34:20.256298,0,25,0.0
2024-03-03 17:34:21.193297,0,25,0.0
2024-03-03 17:34:22.133364,2,25,0.08
2024-03-03 17:34:23.079297,3,25,0.12
2024-03-03 17:34:24.001297,3,25,0.12
2024-03-03 17:34:24.924297,5,25,0.2
2024-03-03 17:34:25.870297,3,25,0.12
2024-03-03 17:34:26.804297,1,25,0.04
2024-03-03 17:34:27.761378,2,25,0.08
2024-03-03 17:34:28.701299,2,25,0.08
2024-03-03 17:34:29.624298,2,25,0.08
2024-03-03 17:34:30.572297,1,25,0.04
2024-03-03 17:34:31.508297,1,25,0.04
2024-03-03 17:34:32.458298,0,25,0.0
2024-03-03 17:34:33.421297,1,25,0.04
2024-03-03 17:34:34.354297,0,25,0.0
2024-03-03 17:34:35.292298,0,25,0.0
2024-03-03 17:34:36.225297,0,25,0.0
2024-03-03 17:34:37.167297,0,25,0.0
2024-03-03 17:34:38.097298,0,25,0.0
2024-03-03 17:34:39.030297,0,25,0.0
2024-03-03 17:34:39.952297,0,25,0.0
2024-03-03 17:34:40.887297,0,25,0.0
2024-03-03 17:34:41.837298,0,25,0.0
2024-03-03 17:34:42.775297,2,25,0.08
2024-03-03 17:34:43.711299,2,25,0.08
2024-03-03 17:34:44.643299,2,25,0.08
2024-03-03 17:34:45.576297,1,25,0.04
2024-03-03 17:34:46.508297,2,25,0.08
2024-03-03 17:34:47.436299,3,25,0.12
2024-03-03 17:34:48.370297,1,25,0.04
2024-03-03 17:34:49.286297,1,25,0.04
2024-03-03 17:34:50.234297,1,25,0.04
2024-03-03 17:34:51.169299,1,25,0.04
2024-03-03 17:34:52.117297,1,25,0.04
2024-03-03 17:34:53.064299,1,25,0.04
2024-03-03 17:34:54.008297,0,25,0.0
2024-03-03 17:34:54.945298,0,25,0.0
2024-03-03 17:34:55.897298,0,25,0.0
2024-03-03 17:34:56.836297,0,25,0.0
2024-03-03 17:34:57.789298,1,25,0.04
2024-03-03 17:34:58.744297,1,25,0.04
2024-03-03 17:34:59.556298,2,25,0.08
2024-03-03 17:35:00.495298,1,25,0.04
